NMX-A-070-INNTEX-2008	A	INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-DETERMINACION DE LA SOLIDEZ DEL COLOR AL AGUA-METODO DE PRUEBA (CANCELA A LA NMX-A-070-INNTEX-1999).	http://www.economia-nmx.gob.mx/normas/nmx/2007/nmx-a-070-inntex-2008.pdf	13/06/2008	Definitiva	SOLIDEZ DEL COLOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-073-INNTEX-2005	A	INDUSTRIA TEXTIL-SOLIDEZ DEL COLOR-DETERMINACION DE LA  SOLIDEZ DEL COLOR AL FROTE-METODO DE PRUEBA (CANCELA  A LA NMX-A-073-1995-INNTEX).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	17/03/2006	Definitiva	COLOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-074-INNTEX-2005	A	INDUSTRIA TEXTIL-DETERMINACION DE LA SOLIDEZ DEL COLOR AL  LAVADO DOMESTICO E INDUSTRIAL-METODO DE PRUEBA (CANCELA A LA NMX-A-074-1995-INNTEX).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	17/03/2006	Definitiva	COLOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-075-INNTEX-2009	A	INDUSTRIA TEXTIL-METODO DE PRUEBA PARA LA DETERMINACION DE LA SOLIDEZ DEL COLOR AL AGUA DE MAR.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	19/10/2009	Definitiva	TOALLA	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-079-INNTEX-2005	A	INDUSTRIA TEXTIL-DETERMINACION DE LA SOLIDEZ DEL COLOR DE LOS MATERIALES TEXTILES AL MERCERIZADO-METODO DE PRUEBA (CANCELA A LA NMX-A-079-1996-INNTEX).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	17/03/2006	Definitiva	COLOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-080-INNTEX-2008	A	INDUSTRIA TEXTIL-DETERMINACION DE LA SOLIDEZ DEL COLOR EN LOS MATERIALES TEXTILES AL BLANQUEO CON HIPOCLORITO DE SODIO-METODO DE PRUEBA (CANCELA LA NMX-A-080-1996-INNTEX).	http://www.economia-nmx.gob.mx/normas/nmx/2007/nmx-a-080-inntex-2008.pdf	19/06/2008	Definitiva	SOLIDEZ DEL COLOR	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-086-INNTEX-2009	A	INDUSTRIA TEXTIL-EVALUACIÓN DE LA APARIENCIA DE LOS HILADOS DE ALGODÓN MEDIANTE PATRONES-MÉTODO DE PRUEBA	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	23/12/2009	Definitiva	METODO DE PRUEBA	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-088-1994-INNTEX	A	MÉTODO DE PRUEBA PARA DETERMINAR LA LONGITUD Y LA UNIFORMIDAD DE LA  LONGITUD DE LAS FIBRAS DE ALGODÓN, MEDIANTE EL FIBRÓGRAFO.	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	15/08/1996	Definitiva	FIBRASALGODON	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-090-INNTEX-2006	A	INDUSTRIA TEXTIL-DETERMINACION DE LAS MATERIAS EXTRAIBLES DE LOS TEXTILES-METODO DE PRUEBA (CANCELA LA NMX-A-090-1994-INNTEX).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	30/01/2007	Definitiva	METODO DE PRUEBA	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
NMX-A-091-INNTEX-2000	A	INDUSTRIA TEXTIL-TELAS NO TEJIDAS-DETERMINACION DEL ESPESOR DE LOS  MATERIALES TEXTILES-METODO DE PRUEBA (CANCELA A LA NMX-A-091-1969).	http://www.economia-nmx.gob.mx/normas/nmx/2000/seleccione.pdf	18/08/2000	Definitiva	TELAS	INDUSTRIA TEXTIL	NO APLICA	INSTITUTO NACIONAL DE NORMALIZACIÓN TEXTIL, A. C. (INNTEX).
